Date,Close,High,Low,Open,Volume
2016-06-02,22.36346245,22.39092363,22.11401236,22.33599952,160766400
2016-06-03,22.40923882,22.48933685,22.30167785,22.37948862,114019600
2016-06-06,22.57171822,23.31777775,22.32455888,22.42525278,93170000
2016-06-07,22.6632576,22.85549456,22.647238,22.71360542,89638000
2016-06-08,22.64266586,22.78455329,22.58316373,22.66097274,83392400
2016-06-09,22.80514908,22.88295808,22.53281408,22.54196839,106405600
2016-06-10,22.61749077,22.73649329,22.53739275,22.54883433,126851600
2016-06-13,22.2765007,22.6838596,22.22157659,22.58545296,152082000
2016-06-14,22.3039608,22.53739129,22.14147576,22.2719216,127727600
2016-06-15,22.23072815,22.52137176,22.20555424,22.38634789,117780800
2016-06-16,22.32456017,22.37032996,21.98585773,22.07282104,125307200
2016-06-17,21.81650162,22.11858674,21.80963632,22.11172145,244032800
2016-06-20,21.76387405,22.10028753,21.74785445,21.96984167,137647600
2016-06-21,21.94924355,22.04993746,21.66775421,21.72725635,142185600
2016-06-22,21.86685562,22.17351711,21.82108408,22.02705166,116876400
2016-06-23,21.99271774,22.03620026,21.79819353,21.95610226,128960800
2016-06-24,21.37482452,21.66317917,21.20318514,21.26268728,301245600
2016-06-27,21.06358337,21.29472488,20.94000282,21.28328155,181958400
2016-06-28,21.41830826,21.43432961,21.08647278,21.26040119,161779600
2016-06-29,21.60367012,21.63799833,21.42745277,21.5052635,146124000
2016-06-30,21.87829971,21.91720422,21.5807925,21.61283171,143345600
2016-07-01,21.94466209,22.07739694,21.81650528,21.85312076,104106000
2016-07-05,21.73869896,21.83252932,21.61740741,21.83024031,110820800
2016-07-06,21.8622818,21.89203375,21.59681377,21.64944888,123796400
2016-07-07,21.95610619,22.08426301,21.88287347,21.90118034,100558400
2016-07-08,22.12546158,22.1735204,21.98128512,22.08197904,115648400
2016-07-11,22.19411469,22.34744543,22.13690156,22.14147785,95179600
2016-07-12,22.29480934,22.35888776,22.22615464,22.23759622,96670000
2016-07-13,22.16893768,22.3520186,22.16207064,22.29251822,103568800
2016-07-14,22.6083374,22.6541072,22.27192397,22.28794357,155676000
2016-07-15,22.60604668,22.72505094,22.54196826,22.63808588,120548000
2016-07-18,22.84634209,22.91499678,22.56485279,22.58773768,145975600
2016-07-19,22.85550117,22.88525137,22.73420788,22.78455571,95119600
2016-07-20,22.87609673,22.99052298,22.82574889,22.88525104,105104000
2016-07-21,22.75480461,23.11410297,22.68614816,22.84634596,130808000
2016-07-22,22.57858467,22.72505011,22.49848491,22.7158958,113254800
2016-07-25,22.2765007,22.61977944,22.18038307,22.48475731,161531600
2016-07-26,22.12317276,22.42068174,22.06595963,22.15750099,224959200
2016-07-27,23.56035995,23.88075375,23.51459016,23.86244513,369379200
2016-07-28,23.87846184,23.90363574,23.53060691,23.53289592,159479200
2016-07-29,23.84871483,23.92652557,23.7274233,23.84413855,110934800
2016-08-01,24.26980782,24.29269272,23.89448986,23.89448986,152671600
2016-08-02,23.91050339,24.27437792,23.80065345,24.26980164,135266400
2016-08-03,24.21030617,24.22174774,23.97687564,23.98602995,120810400
2016-08-04,24.35987091,24.38978228,24.22411555,24.29314394,109634800
2016-08-05,24.73031807,24.76943333,24.43119741,24.45190488,162213600
2016-08-08,24.93510246,24.93510246,24.656691,24.73952261,112148800
2016-08-09,25.03633499,25.0662481,24.85226226,24.90288283,105260800
2016-08-10,24.84996033,25.05704368,24.79473868,25.0133256,96034000
2016-08-11,24.83385468,25.06394691,24.81544688,24.96960825,109938000
2016-08-12,24.8913784,24.95120288,24.79934116,24.79934116,74641600
2016-08-15,25.19049835,25.20430332,24.86836888,24.88217385,103472800
2016-08-16,25.16748428,25.36306406,25.12836903,25.22500733,135177600
2016-08-17,25.13067627,25.16519046,24.92819396,25.10306457,101424000
2016-08-18,25.09845734,25.21810451,25.08465061,25.13297152,87938800
2016-08-19,25.16288567,25.23881652,24.93279344,25.02713034,101472400
2016-08-22,24.96731377,25.10306737,24.81545202,25.04784571,103280800
2016-08-23,25.04554176,25.1536854,24.97191231,24.98571729,85030800
2016-08-24,24.85686111,25.02252779,24.77632919,24.98111112,94700400
